ID,Title,Work Type,Duration (days),Story Points,Tags,Description (preview),LLM Complexity,LLM Value,Outcome,Reviewer Notes,Correct Complexity,Correct Value,Issues Found
ado_9979157,FSI group 4/11/25,Task,8,,Monarch,"divp style=""font-size:16.799999px;margin:0px;""span style=""font-family:TimesNewRomanPS-BoldMT;font-size:12px;""bKey Topics:/b/span /pp style=""font-size:16.799999px;margin:0px;""span style=""font-family:""T...",Q2_Low_Complexity,Low_Value,partial_success,,,,
ado_9969328,Compass IT Admin Roundtable (1/23/25),Task,0,,Monarch,,Q2_Low_Complexity,Low_Value,partial_success,,,,
ado_9969359,Compass IT Admin Roundtable (1/23/25),Task,0,,,,Q2_Low_Complexity,Low_Value,partial_success,,,,
ado_9969392,Compass IT Admin Roundtable (1/23/25),Task,0,,Monarch,,Q2_Low_Complexity,Low_Value,partial_success,,,,
ado_9969376,Compass IT Admin Roundtable (1/23/25),Task,0,,,,Q2_Low_Complexity,Low_Value,partial_success,,,,
ado_9969371,Compass IT Admin Roundtable (1/23/25),Task,0,,Monarch,,Q2_Low_Complexity,Low_Value,partial_success,,,,
ado_9969370,Compass IT Admin Roundtable (1/23/25),Task,0,,,,Q2_Low_Complexity,Low_Value,partial_success,,,,
ado_9969369,Compass IT Admin Roundtable (1/23/25),Task,0,,,,Q2_Low_Complexity,Low_Value,partial_success,,,,
ado_9969365,Compass IT Admin Roundtable (1/23/25),Task,0,,Monarch,,Q2_Low_Complexity,Low_Value,partial_success,,,,
ado_5581951,Mobile Wireframe Kit,User Story,1152,,Design,"divspan style=""display:inline !important;""Low-fidelity wireframe mocks to be used for conceptual work./spanbr /div",Q2_Low_Complexity,Medium_Value,partial_success,,,,
